State,District,Tehsil,Village,Station Name,Well Depth,Latest Reading
Andhra pradesh,Anantapur,Amarapuram,Amarapuram,Amarapuram-pz,40.0,13.0
Andhra pradesh,Anantapur,Amarapuram,Palasamudram,Palasamudram,7.62,1.220000029
Andhra pradesh,Anantapur,Anantapur,Anantapur,Anantapur-pz,33.1,7.0
Andhra pradesh,Anantapur,Atmakur,Waddipalli,Waddipalli,12.0,4.889999866
Andhra pradesh,Anantapur,Chennakothapalle,Chenna kothapalli,Chenna kothapalli-pz,26.9,6.53000021
Andhra pradesh,Anantapur,Dharmavaram,Dharmavaram,Dharmavaram,9.61,1.730000019
Andhra pradesh,Anantapur,Gooty,Gooty,Gooty-alt,16.6,5.449999809
Andhra pradesh,Anantapur,Gooty,Gooty,Gooty-pz,33.1,10.35000038
Andhra pradesh,Anantapur,Gudibanda,Budipalli,Budipalli,13.28,5.679999828
Andhra pradesh,Anantapur,Madakasira,Madakasira,Madakasira-pz,47.0,13.10000038
Andhra pradesh,Anantapur,Madakasira,Madakasira,Madakasira1,21.55,1.129999995
Andhra pradesh,Anantapur,Mudigubba,Malakavemula-rs,Malakavemula-rs,11.15,2.849999905
Andhra pradesh,Anantapur,Obuladevaracheruvu,Ingaluru,Ingaluru,14.35,3.190000057
Andhra pradesh,Anantapur,Tadipatri,Tadipatri,Tadipatri-pz,31.0,11.10000038
Andhra pradesh,Anantapur,Uravakonda,Amidala,Amidala,11.4,6.130000114
Andhra pradesh,Anantapur,Vajrakarur,Vajrakarur,Vajrakarur,16.3,8.800000191
Andhra pradesh,Anantapur,Yadiki,Yadikal,Yadiki-pz,30.9,11.55000019
Andhra pradesh,Chittoor,Chandragiri,Mungilipattu,Mungilipattu,14.18,4.980000019
Andhra pradesh,Chittoor,Palamaner,Duginevaripalli,Duginevaripalli,10.36,2.900000095
Andhra pradesh,Chittoor,Sodum,Battuvaripalli,Battuvaripalli,10.12,1.850000024
Andhra pradesh,Chittoor,Tirupati(r),Suritipalli,Suritipalli,8.2,1.850000024
Andhra pradesh,Chittoor,Tirupati(r),Tirumala,Tirumala1,16.0,3.119999886
Andhra pradesh,Chittoor,Venkatagirikota,Venkatagirikota,Venkatagirikota,15.2,7.489999771
Andhra pradesh,Cuddapah,Mylavaram,Talamanchipatnm,Talamanchipatnm,7.06,2.720000029
Andhra pradesh,Cuddapah,T.sundupalle,Pincha,Pincha,17.12,11.21000004
Andhra pradesh,Cuddapah,Veeraballe,Sanipai,Sanipai,12.48,2.75
Andhra pradesh,East godavari,Atreyapuram,Dowalaiswaram -1,Dowalaiswaram -pz1,200.0,9.119999886
Andhra pradesh,East godavari,Atreyapuram,Dowalaiswaram -2,Dowalaiswaram -pz2,97.0,9.93999958
Andhra pradesh,East godavari,Gollaprolu,Gollaprolu,Gollaprolu,6.55,1.25
Andhra pradesh,East godavari,I.polavaram,Yanam,Yanam,7.5,2.599999905
Andhra pradesh,East godavari,Kothapalle,Uppada,Uppada,4.07,1.950000048
Andhra pradesh,East godavari,Maredumilli,Maredumilli,Maredumilli,7.42,4.900000095
Andhra pradesh,East godavari,Prathipadu,Pattipadu,Pattipadu,8.5,1.600000024
Andhra pradesh,East godavari,Rajanagaram,Rajanagaram,Rajanagaram,7.45,4.199999809
Andhra pradesh,East godavari,Rampachodavaram,Sitapalli,Sitapalli,5.2,2.9
Andhra pradesh,East godavari,Ravulapalem,Delta gannavarm,Delta gannavarm,8.4,2.349999905
Andhra pradesh,East godavari,Ravulapalem,Jonnada,Jonnada,2.98,0.850000024
Andhra pradesh,East godavari,Ravulapalem,Mummidivarampad,Mummidivarampad,5.63,1.299999952
Andhra pradesh,Guntur,Amaravati,Zupudi,Zupudi,8.5,3.799999952
Andhra pradesh,Guntur,Atchampeta,Krosur,Krosur,8.0,4.300000191
Andhra pradesh,Guntur,Chebrolu,Chebrolu,Chebrolu,7.1,1.909999967
Andhra pradesh,Guntur,Guntur,Guntur,Guntur,11.38,3.059999943
Andhra pradesh,Guntur,Gurajala,Gurzala,Gurzala,14.4,0.839999974
Andhra pradesh,Guntur,Ipur,Ipur,Ipur,4.56,3.700000048
Andhra pradesh,Guntur,Krosuru,Pisapadu,Pisapadu,11.0,4.619999886
Andhra pradesh,Guntur,Machavaram,Murjampadu,Murjampadu,14.0,8.960000038
Andhra pradesh,Guntur,Medikonduru,Medikondur,Medikondur,10.47,3.76
Andhra pradesh,Guntur,Nizampatnam,Nijampatnam,Nijampatnam,3.66,1.980000019
Andhra pradesh,Guntur,Phirangipuram,Pirangipuram,Pirangipuram,9.9,3.289999962
Andhra pradesh,Guntur,Prathipadu,Prattipadu,Prattipadu,7.95,1.620000005
Andhra pradesh,Guntur,Rentachintala,Rentachintala,Rentachintala,6.6,1.75999999
Andhra pradesh,Guntur,Repalle,Repalle,Repalle,4.48,3.25999999
Andhra pradesh,Guntur,Sattenapalle,Rentapalle,Rentapalle,12.0,5.630000114
Andhra pradesh,Kurnool,Adoni,Naganathanapali,Naganathanahalli,8.1,5.519999981
Andhra pradesh,Kurnool,Allagadda,Ahobilam,Ahobilam,20.0,16.86
Andhra pradesh,Kurnool,Alur,Aluru,Aluru1,52.4,6.949999809
Andhra pradesh,Kurnool,Gonegandla,Gonegandla,Gonegandla,19.5,2.809999943
Andhra pradesh,Kurnool,Gonegandla,Gonegondla,Gonegondla,9.3,1.5
Andhra pradesh,Kurnool,Holagonda,Holagondi,Holagondi,11.0,4.0
Andhra pradesh,Kurnool,Mantralayam,Madhavaram,Madhavaram,12.0,2.599999905
Andhra pradesh,Kurnool,Orvakal,Orvakallu,Orvakallu,9.5,4.21999979
Andhra pradesh,Kurnool,Peapalle,Yenugumarri,Yenugumarri,9.45,4.920000076
Andhra pradesh,Kurnool,Rudravaram,Battulur,Battulur,7.46,4.639999866
Andhra pradesh,Kurnool,Uyyalawada,Nossam,Nossam,11.4,2.700000048
Andhra pradesh,Kurnool,Veldurthi,Veldurti,Veldurti,9.6,2.24000001
Andhra pradesh,Nellore,Kavali,Kavali,Kavali,10.6,5.829999924
Andhra pradesh,Nellore,Marripadu,Bata,Bata,8.65,6.320000172
Andhra pradesh,Nellore,Muthukur,Muthukuru,Muthukuru1,8.0,4.820000172
Andhra pradesh,Nellore,Vakadu,Durgarajapatnam,Durgarajapatnam,8.0,3.319999933
Andhra pradesh,Nellore,Venkatachalam,Venkatachalam-r,Venkatachalam-r,5.4,3.2
Andhra pradesh,Nellore,Vidavalur,Ramathirdam,Ramathirdam,6.6,5.610000134
Andhra pradesh,Prakasam,Darsi,Darsi-new,Darsi-new,10.07,4.03000021
Andhra pradesh,Prakasam,Kurichedu,Vengaiahpalem,Vengaiahpalem,7.21,4.710000038
Andhra pradesh,Prakasam,Naguluppalapadu,Uppugundur,Uppugundur,7.5,3.980000019
Andhra pradesh,Prakasam,Racherla,Turumella,Turumella,12.3,4.51
Andhra pradesh,Prakasam,Tripurantakam,Guttalaumadivrm,Guttalaumadivrm,9.3,6.360000134
Andhra pradesh,Srikakulam,Heeramandalam,Heeramandalam,Heeramandalam,10.4,0.5
Andhra pradesh,Srikakulam,Ichapuram,Ichapuram,Ichapuram,9.46,5.39
Andhra pradesh,Srikakulam,Mandasa,Haripuram,Haripuram,17.11,2.52
Andhra pradesh,Srikakulam,Palakonda,Palakonda,Palakonda,10.65,2.6
Andhra pradesh,Srikakulam,Srikakulam,Patasrikakulam,Patasrikakulam,8.0,5.050000191
Andhra pradesh,Srikakulam,Vajrapukothuru,Tekkalipatnam,Tekkalipatnam,8.85,3.02
Andhra pradesh,Visakhapatnam,Bheemunipatnam,Bhimunipatnam-1,Bhimunipatnam-1,11.05,3.5
Andhra pradesh,Visakhapatnam,Chintapalle,Lotugadda jn.,Lotugadda junction,4.87,0.850000024
Andhra pradesh,Visakhapatnam,Dumbriguda,Dimriguda,Dimriguda,12.9,1.799999952
Andhra pradesh,Visakhapatnam,Nakkalli,Gurrajupeta,Gurrajupeta,12.0,4.400000095
Andhra pradesh,Visakhapatnam,S.rayavaram,Rayavaram,Rayavaram,5.72,2.150000095
Andhra pradesh,Vizianagaram,Badangi,Maradam,Maradam,8.95,2.849999905
Andhra pradesh,Vizianagaram,Komarada,Komarada,Komarada,10.45,6.550000191
Andhra pradesh,Vizianagaram,Kurupam,Gumma,Gumma,8.85,1.799999952
Andhra pradesh,Vizianagaram,Kurupam,Kurupana,Kurupana,11.1,4.699999809
Andhra pradesh,Vizianagaram,Makkuva,Payakapadu,Payakapadu,8.2,0.899999976
Andhra pradesh,Vizianagaram,Merakamudidam,Garbham,Garbham,10.25,7.0
